max,min,mean,std,rms,skewness,kurtosis,crest,fault_raw,fault
0.35986153846153845,-0.4188996923076923,0.017840384314903847,0.1227164087394056,0.12400643647166194,-0.11865927064787014,-0.03933027163758984,2.901958315076582,B007,Ball
0.46771569230769233,-0.3611132307692308,0.0222548203125,0.13245558216117878,0.13431216725523584,0.174824994227455,-0.07869882829876973,3.482302959164185,B007,Ball
0.4685501538461538,-0.43809230769230767,0.020470282752403847,0.14961395527073762,0.1510078411464704,0.040369309239232425,-0.27139999356745514,3.1028198222070094,B007,Ball
0.584748923076923,-0.5430258461538462,0.020959734374999997,0.15702909412309993,0.15842173735378592,-0.02328340681194486,0.13775590456817088,3.691089972458563,B007,Ball
0.44685415384615385,-0.5789076923076923,0.02216732001201923,0.13815510557770241,0.1399222043626435,-0.08159250359909474,0.4061017836152998,3.193589780447723,B007,Ball
0.4372578461538461,-0.4443507692307692,0.021119251802884615,0.1387295420683197,0.14032786123646057,-0.13142401670325374,-0.16578832571913615,3.115972916150359,B007,Ball
0.4535298461538461,-0.4912892307692307,0.02146395612980769,0.13842763468169597,0.14008180273080223,-0.11425781938243303,0.311343748229441,3.2376069192180053,B007,Ball
0.4395526153846154,-0.4522781538461538,0.020860214242788458,0.15008341247111615,0.1515261668400221,-0.02197032536399307,-0.26963017314331017,2.900836175974301,B007,Ball
0.4923323076923077,-0.3721698461538462,0.020243943209134613,0.14532551738182917,0.1467287403304172,0.07422463208108818,-0.41929574868227526,3.355390859552943,B007,Ball
0.371544,-0.49087200000000003,0.01810451502403846,0.13635956020903128,0.13755618170280848,-0.1363359748701884,-0.09504695475067448,2.7010343584004164,B007,Ball
0.38760738461538463,-0.34776184615384614,0.017719778545673075,0.12632025225391144,0.12755703305266833,-0.054708586105940725,-0.34750029582647723,3.0386984155421466,B007,Ball
0.47606030769230767,-0.4076344615384615,0.017676996093749998,0.13639882485779997,0.1375395056465132,0.03813612260942331,0.17392299823299906,3.461262063157312,B007,Ball
0.4823187692307692,-0.45707630769230767,0.017110637920673077,0.1418101197800826,0.14283866424079214,0.05719667074563649,-0.02411945783902203,3.376667921306061,B007,Ball
0.40346215384615386,-0.39365723076923076,0.01839716736778846,0.12765238444074725,0.12897126432103684,-0.010816039532174831,0.1891420753344195,3.128310206828313,B007,Ball
0.47689476923076923,-0.38343507692307693,0.017996642127403845,0.1364065587342068,0.1375886201456009,-0.0043592264433157685,-0.09705122054608006,3.4660914112314605,B007,Ball
0.663396923076923,-0.5131938461538461,0.017048603365384614,0.1424177049418417,0.14343450616086661,0.1446928190179762,1.3339333459403413,4.625085654647457,B007,Ball
0.4124326153846154,-0.4645864615384615,0.018280432391826924,0.1365252051967029,0.13774362367250972,-0.022908743939365116,0.030320591808390862,2.9942045551461804,B007,Ball
0.4182738461538461,-0.40575692307692307,0.018645713040865382,0.13405585297152217,0.13534634952862476,0.01655465821866041,-0.1043539248587444,3.0903959856074614,B007,Ball
0.49629599999999996,-0.553248,0.01833757752403846,0.14997818638505211,0.15109507980341239,-0.04640188205737109,0.10308252023290043,3.28466001539642,B007,Ball
0.4831532307692308,-0.3988726153846154,0.017400743689903846,0.15131683021676565,0.15231404724388098,0.14546570774116496,0.08950897474668063,3.172085620407442,B007,Ball
0.44309907692307693,-0.36445107692307693,0.017637778846153845,0.13633992778266144,0.13747606028108011,0.05558866524070989,-0.22013185863709417,3.2230996712164357,B007,Ball
